"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Daca nu doriti sa aveti directoare Magento care sa poata fi scrise pentru procesul web, puteti folosi executabilul PEAR, localizat in radacina instalarii Magento .",
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Daca ati descarcat pachetul intreg sau ati instalat Magento prin intermediul SVN, ar trebui sa omiteti instalarea si validarea pachetelor facand click pe butonul de mai jos.",
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Daca doriti sa administrati pachetele Magento prin intermediul interfetei admin web, va fi necesar sa aveti permisiuni ca sa poata fi scrise aplicate la toate fisierele si directoarele Magento.",
"If your server is running on MS Windows, most probably you will not need to change anything.","Daca server-ul dumneavoastra ruleaza pe MS Windows, probabil nu va fi necesar sa modificati nimic.",
In other cases you will need to make Magento files writeable for the user that the web server process is running under.,In alte cazuri va trebui sa faceti astfel incat fisierele Magento sa poata fi scrise de catre utilizatorul sub care ruleaza procesul server web.,
Installation,Instalare,
Installation Guide,Ghid Instalare,
Installer does not exist for %s database type,Programul de instalare pentru tipul date de baza %s  nu exista,
Last Name,Nume,
License Agreement,Acord Licenta,
Locale,Locale,
Locale settings,Setari Locale,
Localization,Localizare,
Login Information,Informatii Logare,
Magento,Magento,
Magento Connect Manager Deployment,Implementare Administrator Conectare Megento,
Magento Installation Wizard,Ghid Instalare Magento,
Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.,Magento este o marca inregistrata a Magento Inc. Copyright &copy %s Magento Inc., 
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","Magento foloseste acest cod pentru criptarea parolelor, cardurilor de credit s.a. Daca acest camp este lasat gol, sistemul va crea un cod de criptare pentru dumneavoastra si il va afisa pe pagina urmatoare.",
Manual Downloads and Upgrades,Descarcari Manuale si Upgrade-uri,
No resource for %s DB model.,Nici o resursa pentru modelul DB %s .,
"One of PHP Extensions ""%s"" must be loaded.","Una din Extensiile PHP ""%s"" trebuie incarcata.",
PHP Extension '%s' loaded,Extensie PHP '%s' incarcata,
"PHP Extensions ""%s"" must be loaded.","Extensiile PHP ""%s"" trebuie incarcate.",
"PHP extension ""%s"" must be loaded.","Extensia PHP ""%s"" trebuie incarcata.",
Package Management through the Web,Administrarea pachetului prin intermediul Web-ului,
Password,Parola,
Password Confirmation,Confirmare Parola,
"Path ""%s"" must be writable.","Calea ""%s"" trebuie sa poata fi scrisa.",
Personal Information,Informatii Personale,
Please correct the user data and try again.,"Va rugam, corectati datele utilizatorului si incercati din nou.",
Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.,"Va rugam, asigurati-va ca  <code>mod_rescriere</code> este activat in configuratia Apache.",
Please note that it is much less stable than beta.,"Va rugam, retineti ca este mai putin stabil decat beta.",
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Va rugam, retineti ca numai interfetele UNIX, Linux si Mac OS X shells sunt acceptate momentan. Pentru Windows folositi optiunea '%s' .",
Please set all required settings before clicking Continue,"Va rugam, faceti toate setarile necesare inainte de a face click pe Continua",
Preferred stability: %s,Stabilitate recomandata: %s,
Proceed With Automatic Download (%s),Continuati cu Descarcarea Automata(%s),
Provide a complete base URL for SSL connection. For example: %s,Furnizati un URL de baza complet pentru conexiunea SSL. De exemplu: %s,
Report All Bugs,Raportati toate erorile,
Required Fields,Campuri necesare,
Response from server isn\'t valid.,Raspunsul de la server nu este valid.,
Run admin interface with SSL,Ruleaza interfata admin cu SSL,
Run this in your shell from Magento root folder:,Ruleaza aceasta in interfata din directorul radacina al Magento:,
Save Session Data In,Salvati date sesiune in,
Save Session Files In,Salvati fisiere sesiune in,
Secure Base URL,URL de baza pentru securitate,
Session Storage Options,Optiuni depozitare sesiune,
Setting preferred state to: %s,Se seteaza starea recomandata la: %s,
Skip Base URL Validation Before the Next Step,Omiteti validarea URL-ului de baza inainte de Pasul Urmator,
Skip Secure URL validation before next step,Omiteti validarea URL-ului de securitate inainte de Pasul Urmator,
Tables Prefix,Prefix Tabele ,
"The URL ""%s"" is invalid.","URL-ul ""%s"" nu este valid.",
"The URL ""%s"" is not accessible.","URL-ul ""%s"" nu este accesibil.",
"The database server version doesn\'t match system requirements (required: %s, actual: %s).","Versiunea bazei de date a server-ului nu respecta cerintele sistemului (necesar: %s,efectiv: %s).",
"The table prefix should contain only letters (a-z), numbers (0-9) or underscores (_), the first character should be a letter.","Prefixul tabelului trebuie sa contina numai litere (a-z), cifre (0-9) sau underscore-uri (_), primul caracter trebuie sa fie o litera.",
"There was a problem installing Magento packages. Please read the log, correct errors and try again.","A aparut o problema la instalarea pachetelor Magento.Va rugam, cititi jurnalul, corectati erorile si incercati din nou.",
Time Zone,Zona fus orar,
Use Secure URLs (SSL),Folositi URL-uri de securitate (SSL),
Use Web Server (Apache) Rewrites,Folositi rescrierile server-ului web (Apache),
User Name,Nume Utilizator,
User Password,Parola Utilizator,
Username,Utilizator,
Validation,Validare,
Web access options,Optiuni acces Web,
Welcome,Bun Venit,
Welcome to Magento's Installation Wizard,Bun Venit la Ghidul de Instalare Magento,
"You can specify server port, ex.: localhost:3307<br />If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Puteti specifica adresa server-ului, ex.: localhost:3307<br />Daca folositi socket standard UNIX, il puteti specifica aici in locul server-ului, ex.: /var/run/mysqld/mysqld.sock",
You could enable this option to use web server rewrites functionality for improved search engines optimization.,"Puteti folosi aceasta optiune pentru a folosi rescrieri de url la nivel de server, ceea ce ofera o optimizare SEO mai buna",
You're All Set,Sunteti gata,
You're All Set!,Sunteti gata!,
"All packages were installed successfully, click 'Ok' to continue with installation","Toate pachetele au fost instalate cu succes, click 'OK' pentru a continua cu instalarea",
Database connection error,Eroare Conexiune Baza de Date,
I agree to the above terms and conditions,Sunt de acord cu Termenii si Conditiile de mai sus,
"If you are running install wizard over previously downloaded and installed Magento installation, proceed with this method.","Daca rulati ghidul de instalare la o instalare Magento descarcata si instalata anterior, continuati cu aceasta metoda.",
Magento is a trademark of Irubin Consulting Inc. DBA Varien. Copyright &copy; %s Irubin Consulting Inc.,Magento este o marca inregistrata a Irubin Consulting Inc. DBA Varien. Copyright &copy %s Irubin Consulting Inc., 
"One from PHP Extensions ""%s"" must be loaded","Una din extensiile PHP ""%s"" trebuie incarcata",
"Path ""%s"" must be writable","Calea ""%s"" trebuie sa poata fi scrisa",
"PHP Extension ""%s"" must be loaded","Extensia PHP ""%s"" trebuie incarcata",
"Please note that only UNIX, Linux and Mac OSX shells are currently supported. For Windows use the '%s' option.","Va rugam, retineti ca numai UNIX, Linux si Mac OS X shells sunt acceptate momentan. Pentru Windows folositi optiunea '%s' .",
"Table prefix should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Prefixul tabelului trebuie sa contina numai litere (a-z), cifre (0-9) sau underscore (_), primul caracter trebuie sa fie o litera",
"There was a problem installing Magento packages. Please read the log, correct errors and retry again.","A aparut o problema la instalarea pachetelor Magento.Va rugam, cititi jurnalul, corectati erorile si incercati din nou.",
This Url is invalid,Acest URL nu este valid,
"Url ""%s"" is invalid","Url-ul ""%s"" nu este valid",
"Url ""%s"" is not accessible","Url-ul ""%s"" nu este accesibil",
"You can specify server port, ex.: localhost:3307<br/>If you are not using default UNIX socket, you can specify it here instead of host, ex.: /var/run/mysqld/mysqld.sock","Puteti specifica adresa server-ului, ex.: localhost:3307<br/>Daca folositi socket standard UNIX, il puteti specifica aici in locul server-ului, ex.: /var/run/mysqld/mysqld.sock",
