%s,%s
%s already exist.,%s deja exista.
%s already exists.,%s deja exista.
-- Please Select --,-- Alege --
Please use only letters (a-z) or numbers (0-9) only in this field. No spaces or other characters are allowed.,"Va rugam, folositi numai litere (a-z)  sau cifre (0-9) in acest camp. Nu sunt permise spatiile si alte caractere."
Please use only letters (a-z) or numbers (0-9) or spaces and # only in this field.,"Va rugam, folositi numai litere (a-z), cifre (0-9) sau spatii si # in acest camp"
Remove This Item,Sterge acest Articol
Sales representative,Reprezentant vanzari
Request path for specified store,Solicita cale pentru magazinul specificat
Resource is not set,Resursa nu este setata
Search,Cautare
Customer support,Servicii clienti
"Your session has been expired, you will be relogged in now.","Sesiunea a expirat, vei fi re-autentificat."
Session Cookie management,Administrare cookie sesiune
Session files directory,Director fisiere sesiune
Set as default,Setaza ca implicit
Website was successfully saved,Site-ul a fost salvat.
Website was successfully deleted.,Site-ul a fost sters.
Website not exists,Site-ul nu exista
Skin directory,Director teme
SMTP settings (Windows server only),Setari SMTP (doar server Windows)
Sort order,Sortare comanda
Start date can't be greater than end date,Data de inceput nu poate fi mai mare decat cea de sfarsit
"Store code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Codul magazinului trebuie sa contina numai litere (a-z), cifre (0-9) sau underscore(_), primul caracter trebuie sa fie o litera."
Submit,Trimite
Default country,Tara standard
Target path for specified store,Calea tinta pentru magazinul specificat
Telephone,Telefon
All,Toate
"Unknown scope ""%s""","Arie necunoscuta ""%s"""
Admin User,Utilizator admin
Var (temporary files) directory,Directorul var (fisiere temporare)
Store View was successfully saved,Vitrina magazinului a fost salvata.
Store View was successfully deleted.,Vitrina magazinului a fost stearsa.
Store View not exists,Vitrina magazinului nu exista
"Website code should contain only letters (a-z), numbers (0-9) or underscore(_), first character should be a letter","Codul site-ului trebuie sa contina numai litere (a-z), cifre (0-9) sau underscore(_), primul caracter trebuie sa fie o litera."
You have no items to compare.,Nu ai produse de comparat
You will receive an order confirmation email with details of your order and a link to track its progress.,Veti Primi O confirmare a comenzii cu detalii de accesare si urmarire
Your order # is: %s,Comanda Ta # este: %s
Your order can not be completed at this time as there is no payment methods available for it.,Comanda ta nu poate fi finalizata deoarece nu ai ales o metoda de plata valabila.
Your order can not be completed at this time as there is no shipping methods available for it. Please make neccessary changes in your shipping address.,Comanda ta nu poate fi finalizata deoarece nu ai ales o metoda de livrare
Your order has been received,Comanda ta a fost receptionata
"Add Secret Key To Url","Adauga cheie secreta la url-uri"
"Admin routing compatibility mode for extensions","Compatibilitate admin routing pentru extensii"
"Allow Magento Backend to run in frame","Permite interfetei de administrare sa ruleze in iframe"
"Allow Magento Frontend to run in frame","Permite magazinului sa ruleze in iframe"
"CSRF protection","Protectie CSRF"
"Email - Footer","Email - Footer"
"Email - Header","Email - Header"
"Email Footer Template","Sablon Email Footer"
"Email Header Template","Sablon Header"
"Enabling ability to run Magento in a frame is not recommended for security reasons.","Nu este recomandata permiterea rularii Magento intr-un iframe din motive de securitate."
"Enabling this setting increases risk of automated attacks against admin functionality.","Activarea acestei optiunui creste riscul legat de atacurile automate la functionalitatea panoului de administrare."
"Invalid date","Data eronata"
"Invalid transactional email code: %s","Cod eronat email tranzactional: %s"
"Message recipients data must be set.","Datele destinatarilor mesajului trebuiesc configurate."
"Request path length exceeds allowed %s symbols.","Cererea depaseste maximum de %s caractere."
"Small Logo Image Src","Sursa imagine logo mic"
"Store Hours of Operation","Orele de functionare ale magazinului"
"The From Date value should be less than or equal to the To Date value.","Valoarea Datei De La trebuie sa fie mai mica sau egala decat valoarea Datei La."
